"filename", "language", "JavaScript", "SCSS", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Other Files\Git\HTML\Clean\css\projects.css", "CSS", 0, 0, 1, 0, 0, 1, 0, 2
"c:\Other Files\Git\HTML\Clean\images\bent-arrow.svg", "XML", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Other Files\Git\HTML\Clean\index.html", "HTML", 0, 0, 0, 41, 0, 3, 1, 45
"c:\Other Files\Git\HTML\Clean\js\nav-btn-active.js", "JavaScript", 32, 0, 0, 0, 0, 1, 8, 41
"c:\Other Files\Git\HTML\Clean\js\navbar-scroll.js", "JavaScript", 20, 0, 0, 0, 0, 0, 3, 23
"c:\Other Files\Git\HTML\Clean\scss\boiler.scss", "SCSS", 0, 3, 0, 0, 0, 0, 1, 4
"c:\Other Files\Git\HTML\Clean\scss\contact.scss", "SCSS", 0, 18, 0, 0, 0, 0, 1, 19
"c:\Other Files\Git\HTML\Clean\scss\hero.scss", "SCSS", 0, 10, 0, 0, 0, 0, 2, 12
"c:\Other Files\Git\HTML\Clean\scss\navbar.scss", "SCSS", 0, 49, 0, 0, 0, 13, 8, 70
"c:\Other Files\Git\HTML\Clean\scss\projects.scss", "SCSS", 0, 4, 0, 0, 0, 0, 0, 4
"Total", "-", 52, 84, 1, 41, 4, 18, 25, 225